iter	Passed	Remaining
0	1	332
1	1	229
2	1	184
3	2	163
4	2	148
5	3	165
6	3	148
7	3	136
8	4	131
9	4	126
10	4	123
11	4	119
12	5	117
13	5	113
14	5	112
15	6	111
16	6	108
17	6	105
18	6	102
19	7	103
20	7	102
21	7	99
22	8	97
23	8	94
24	8	92
25	8	92
26	8	90
27	9	89
28	9	88
29	9	88
30	9	86
31	10	85
32	10	83
33	10	82
34	10	82
35	11	81
36	11	81
37	11	80
38	11	78
39	11	77
40	12	76
41	12	77
42	13	83
43	14	82
44	14	81
45	14	80
46	14	79
47	14	78
48	15	78
49	15	77
50	16	79
51	16	80
52	18	85
53	18	85
54	19	85
55	19	86
56	20	86
57	20	86
58	21	86
59	21	87
60	23	90
61	23	91
62	24	90
63	25	92
64	25	91
65	25	90
66	25	89
67	26	88
68	26	88
69	26	87
70	27	87
71	28	88
72	28	87
73	28	87
74	28	86
75	29	88
76	30	87
77	30	86
78	30	86
79	31	85
80	31	84
81	31	84
82	32	84
83	32	83
84	32	83
85	33	83
86	33	83
87	34	82
88	34	81
89	34	81
90	35	81
91	35	80
92	35	79
93	36	79
94	36	79
95	37	79
96	37	79
97	38	78
98	38	77
99	38	77
100	40	78
101	40	78
102	41	79
103	42	79
104	43	80
105	44	80
106	44	79
107	44	79
108	45	78
109	45	78
110	45	77
111	46	78
112	46	77
113	47	76
114	47	76
115	47	75
116	48	75
117	49	77
118	50	76
119	50	75
120	50	74
121	50	74
122	51	73
123	51	72
124	51	72
125	52	71
126	52	71
127	52	70
128	52	70
129	53	69
130	53	68
131	53	68
132	53	67
133	53	66
134	54	66
135	54	65
136	54	64
137	54	64
138	58	67
139	58	66
140	58	65
141	58	65
142	59	64
143	59	64
144	59	63
145	59	62
146	59	62
147	60	61
148	60	61
149	60	60
150	60	59
151	60	59
152	61	58
153	61	58
154	61	57
155	62	57
156	62	56
157	62	56
158	63	55
159	63	55
160	64	55
161	64	54
162	64	54
163	65	53
164	65	53
165	65	52
166	65	52
167	65	51
168	66	51
169	67	51
170	67	50
171	67	50
172	67	49
173	68	49
174	68	48
175	68	48
176	69	48
177	70	48
178	70	47
179	70	47
180	71	46
181	71	46
182	71	45
183	72	45
184	72	44
185	72	44
186	72	43
187	72	43
188	73	42
189	73	42
190	73	41
191	73	41
192	74	41
193	74	40
194	74	40
195	74	39
196	75	39
197	75	38
198	75	38
199	75	37
200	76	37
201	76	37
202	76	36
203	76	36
204	77	35
205	77	35
206	77	34
207	77	34
208	78	34
209	78	33
210	78	33
211	78	32
212	79	32
213	79	31
214	79	31
215	80	31
216	80	30
217	80	30
218	80	29
219	80	29
220	81	29
221	81	28
222	81	28
223	81	27
224	82	27
225	82	26
226	82	26
227	82	26
228	83	25
229	83	25
230	83	24
231	83	24
232	84	24
233	84	23
234	85	23
235	85	23
236	85	22
237	86	22
238	86	22
239	87	21
240	87	21
241	89	21
242	89	21
243	90	20
244	90	20
245	92	20
246	92	19
247	94	19
248	95	19
249	95	19
250	96	18
251	96	18
252	97	18
253	97	17
254	98	17
255	99	17
256	100	16
257	101	16
258	101	16
259	101	15
260	102	15
261	102	14
262	104	14
263	105	14
264	105	13
265	105	13
266	106	13
267	106	12
268	106	12
269	107	11
270	107	11
271	108	11
272	109	10
273	109	10
274	109	9
275	110	9
276	111	9
277	111	8
278	111	8
279	112	8
280	118	7
281	118	7
282	118	7
283	118	6
284	118	6
285	119	5
286	130	5
287	130	5
288	131	5
289	131	4
290	131	4
291	132	3
292	132	3
293	132	2
294	132	2
295	133	1
296	133	1
297	133	0
298	134	0
299	134	0
